"year","prov","sector","scenario","emissions"
2013,"BC","Electricity","2022 Additional Measures Scenario",0
2013,"BC","Electricity","2022 Reference Case",0
2013,"BC","Electricity","NIR 2022",0.4
2013,"Canada","Electricity","2022 Additional Measures Scenario",0
2013,"Canada","Electricity","2022 Reference Case",0
2013,"Canada","Electricity","NIR 2022",79.7
2013,"MB","Electricity","2022 Additional Measures Scenario",0
2013,"MB","Electricity","2022 Reference Case",0
2013,"MB","Electricity","NIR 2022",0.1
2013,"ATL","Electricity","2022 Additional Measures Scenario",0
2013,"ATL","Electricity","2022 Reference Case",0
2013,"ATL","Electricity","NIR 2022",12
2013,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2013,"Northwest Territories","Electricity","2022 Reference Case",0
2013,"Northwest Territories","Electricity","NIR 2022",0
2013,"ON","Electricity","2022 Additional Measures Scenario",0
2013,"ON","Electricity","2022 Reference Case",0
2013,"ON","Electricity","NIR 2022",9.2
2013,"QC","Electricity","2022 Additional Measures Scenario",0
2013,"QC","Electricity","2022 Reference Case",0
2013,"QC","Electricity","NIR 2022",0.4
2013,"SK","Electricity","2022 Additional Measures Scenario",0
2013,"SK","Electricity","2022 Reference Case",0
2013,"SK","Electricity","NIR 2022",13.6
2014,"AB","Electricity","2022 Additional Measures Scenario",0
2014,"AB","Electricity","2022 Reference Case",0
2014,"AB","Electricity","NIR 2022",44.3
2014,"BC","Electricity","2022 Additional Measures Scenario",0
2014,"BC","Electricity","2022 Reference Case",0
2014,"BC","Electricity","NIR 2022",0.3
2014,"Canada","Electricity","2022 Additional Measures Scenario",0
2014,"Canada","Electricity","2022 Reference Case",0
2014,"Canada","Electricity","NIR 2022",76.3
2014,"MB","Electricity","2022 Additional Measures Scenario",0
2014,"MB","Electricity","2022 Reference Case",0
2014,"MB","Electricity","NIR 2022",0.1
2014,"ATL","Electricity","2022 Additional Measures Scenario",0
2014,"ATL","Electricity","2022 Reference Case",0
2014,"ATL","Electricity","NIR 2022",12.2
2014,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2014,"Northwest Territories","Electricity","2022 Reference Case",0
2014,"Northwest Territories","Electricity","NIR 2022",0
2014,"ON","Electricity","2022 Additional Measures Scenario",0
2014,"ON","Electricity","2022 Reference Case",0
2014,"ON","Electricity","NIR 2022",5
2014,"QC","Electricity","2022 Additional Measures Scenario",0
2014,"QC","Electricity","2022 Reference Case",0
2014,"QC","Electricity","NIR 2022",0.3
2014,"SK","Electricity","2022 Additional Measures Scenario",0
2014,"SK","Electricity","2022 Reference Case",0
2014,"SK","Electricity","NIR 2022",13.8
2015,"AB","Electricity","2022 Additional Measures Scenario",0
2015,"AB","Electricity","2022 Reference Case",0
2015,"AB","Electricity","NIR 2022",46.4
2015,"BC","Electricity","2022 Additional Measures Scenario",0
2015,"BC","Electricity","2022 Reference Case",0
2015,"BC","Electricity","NIR 2022",0.3
2015,"Canada","Electricity","2022 Additional Measures Scenario",0
2015,"Canada","Electricity","2022 Reference Case",0
2015,"Canada","Electricity","NIR 2022",79.7
2015,"MB","Electricity","2022 Additional Measures Scenario",0
2015,"MB","Electricity","2022 Reference Case",0
2015,"MB","Electricity","NIR 2022",0.1
2015,"ATL","Electricity","2022 Additional Measures Scenario",0
2015,"ATL","Electricity","2022 Reference Case",0
2015,"ATL","Electricity","NIR 2022",12.1
2015,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2015,"Northwest Territories","Electricity","2022 Reference Case",0
2015,"Northwest Territories","Electricity","NIR 2022",0
2015,"ON","Electricity","2022 Additional Measures Scenario",0
2015,"ON","Electricity","2022 Reference Case",0
2015,"ON","Electricity","NIR 2022",5.4
2015,"QC","Electricity","2022 Additional Measures Scenario",0
2015,"QC","Electricity","2022 Reference Case",0
2015,"QC","Electricity","NIR 2022",0.3
2015,"SK","Electricity","2022 Additional Measures Scenario",0
2015,"SK","Electricity","2022 Reference Case",0
2015,"SK","Electricity","NIR 2022",14.8
2016,"AB","Electricity","2022 Additional Measures Scenario",0
2016,"AB","Electricity","2022 Reference Case",0
2016,"AB","Electricity","NIR 2022",41.6
2016,"BC","Electricity","2022 Additional Measures Scenario",0
2016,"BC","Electricity","2022 Reference Case",0
2016,"BC","Electricity","NIR 2022",0.4
2016,"Canada","Electricity","2022 Additional Measures Scenario",0
2016,"Canada","Electricity","2022 Reference Case",0
2016,"Canada","Electricity","NIR 2022",74.3
2016,"MB","Electricity","2022 Additional Measures Scenario",0
2016,"MB","Electricity","2022 Reference Case",0
2016,"MB","Electricity","NIR 2022",0.1
2016,"ATL","Electricity","2022 Additional Measures Scenario",0
